License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Date Updated
403-02012,NATIONAL GREEN SOURCE LLC,The Green Source,Medical Marijuana Cultivation,1900 South Freeway,Pueblo,81004,2025-05-01
403-01368,NATTY REMS LLC,Natty Rems,Medical Marijuana Cultivation,4675 North Kingston Street,Denver,80239,2025-05-01
403-01405,NATURAL ALTERNATIVES FOR HEALTH CORP,None,Medical Marijuana Cultivation,"1420 Blue Spruce Drive, Unit G&H",Fort Collins,80524,2025-05-01
403-00085,NATURES HERBS & WELLNESS CENTER,Nature's Herbs & Wellness Center,Medical Marijuana Cultivation,540 27th Street,Garden City,80631,2025-05-01
403-00643,NATURES KISS CANNABIS SERVICES HEALTH & WELLNESS LLC,Nature's Kiss,Medical Marijuana Cultivation,4332 South Broadway ,Englewood,80113,2025-05-01
403-01881,NEXT1 LABS LLC,Next1 Labs,Medical Marijuana Cultivation,1660 Siloam Road,Pueblo,81005,2025-05-01
403-02231,NOCO FARM LLC,Snaxland,Medical Marijuana Cultivation,118 Ash Street,Nunn,80648,2025-05-01
403-01927,NOMADIC LLC ,Royal Jelly; Lazercat,Medical Marijuana Cultivation,8620 Colorado 103,Idaho Springs,80452,2025-05-01
403-00178,NS BRECK LIMITED,Northern Standard,Medical Marijuana Cultivation,"1795 Airport Road, Unit A2",Breckenridge,80424,2025-05-01
403-00462,NUTRITIONAL ELEMENTS LLC,The Health Center,Medical Marijuana Cultivation,4800 North Nome Street,Denver,80239,2025-05-01
403-01656,NUVUE PHARMA LLC,None,Medical Marijuana Cultivation,4740 Dillon Drive,Pueblo,81008,2025-05-01
403-02402,ORDWAYS BEST LLC,None,Medical Marijuana Cultivation,20390 Tamarack Lane,Ordway,81063,2025-05-01
403-00133,ORIGINAL CANNABIS GROWERS LLC,None,Medical Marijuana Cultivation,2625 East Saint Vrain Street,Colorado Springs,80909,2025-05-01
403-00245,P & C EXPRESS LLC,Rocky Mountain High,Medical Marijuana Cultivation,6666 East 44th Avenue,Denver,80216,2025-05-01
403-00860,P & C EXPRESS LLC,Rocky Mountain High ,Medical Marijuana Cultivation,305 Jody Court,Montrose,81401,2025-05-01
403-01939,PACIFICI ENTERPRISES LLC,None,Medical Marijuana Cultivation,904 MR 45 Lane,Moffat,81143,2025-05-01
403-01411,PENROSE MANAGEMENT CO LTD,Penrose Cannabis,Medical Marijuana Cultivation,890 7th Street,Penrose,81240,2025-05-01
403-00644,PEORIA PARK MANAGEMENT LLC,Flatirons Cannabis Company,Medical Marijuana Cultivation,4765 North Oakland Street,Denver,80239,2025-05-01
403-01036,PERSONALIZED ORGANIC TREATMENTS LLC,None,Medical Marijuana Cultivation,11122 East 47th Avenue,Denver,80239,2025-05-01
403-00160,PG GROW II LLC,12 Peaks Farms,Medical Marijuana Cultivation,7800 County Road 152,Salida,81201,2025-05-01
403-01200,PHOENIX FARMS OF BOULDER LLC,Phoenix Farms ,Medical Marijuana Cultivation,10452 Isabelle Road,Lafayette,80026,2025-05-01
403-01580,PI 51st AVENUE LLC,Natty Rems,Medical Marijuana Cultivation,11100 East 51st Avenue,Denver,80239,2025-05-01
403-02272,PISTIL PALACE LLC,None,Medical Marijuana Cultivation,615 Dunn Deal Drive ,Moffat,81143,2025-05-01
403-01859,PND LLC, A Cut Above,Medical Marijuana Cultivation,3375 Fillmore Ridge Heights,Colorado Springs,80907,2025-05-01
403-00529,PND LLC,A Cut Above,Medical Marijuana Cultivation,3435 Fillmore Ridge Heights,Colorado Springs,80907,2025-05-01
403-01371,POTCO LLC,PotCo,Medical Marijuana Cultivation,11101 East 51st Avenue,Denver,80239,2025-05-01
403-01873,POTCO LLC,PotCo,Medical Marijuana Cultivation,1640 Siloam Road,Pueblo,81005,2025-05-01
403-00080,PRVT LBL LLC,Sneudies,Medical Marijuana Cultivation,2490 West 2nd Avenue,Denver,80223,2025-05-01
403-01838,PURE MEDICAL LLC,Pure,Medical Marijuana Cultivation,440 8th Street,Penrose,81240,2025-05-01
403-00325,R & B CONSULTING INC,Iion Cannabis,Medical Marijuana Cultivation,"4727 North Broadway, Unit G",Boulder,80304,2025-05-01
403-00959,RANGE STREET LLC,Qualis Cultivation,Medical Marijuana Cultivation,"1845 Range Street, Bays B, G-H",Boulder,80301,2025-05-01
403-01009,RBF CORP,Single Source Colorado,Medical Marijuana Cultivation,621 South Jason Street,Denver,80223,2025-05-01
403-01766,RD INDUSTRIES II LLC,House of Dankness,Medical Marijuana Cultivation,10555 East 45th Avenue,Denver,80239,2025-05-01
403-01801,RJJ HIGHLANDS LLC,Native Roots Highlands,Medical Marijuana Cultivation,4990 North Dahlia Street,Denver,80216,2025-05-01
403-01005,ROCKY MOUNTAIN MEDICAL LLC,None,Medical Marijuana Cultivation,616 Arrawanna Street,Colorado Springs,80909,2025-05-01
403-00029,ROTATION LLC,Rotation,Medical Marijuana Cultivation,4015 North Elati Street,Denver,80216,2025-05-01
403-01619,RR SERVICES LLC,Bloom County,Medical Marijuana Cultivation,2252 South Kalamath Street,Denver,80223,2025-05-01
403-01756,RUBII LLC,None,Medical Marijuana Cultivation,"6859 North Foothills Highway, Unit C-400",Boulder,80302,2025-05-01
403-00284,SEVENSEVEN TWO LLC,None,Medical Marijuana Cultivation,1255 South Huron Street,Denver,80223,2025-05-01
403-01687,SL CHEROKEE LLC,Snaxland,Medical Marijuana Cultivation,1155 South Cherokee Street,Denver,80223,2025-05-01
403-00450,SOHI CANNABIS COMPANY LLC,None,Medical Marijuana Cultivation,2744 West 4th Avenue,Denver,80219,2025-05-01
403-01418,SOLACE MEDS LLC,None,Medical Marijuana Cultivation,1736-1740 Willox Court,Fort Collins,80524,2025-05-01
