"Marijuana Sales Report
January 2014 to December 2024",,,,
Intentionally left blank,,,,
9,2016,"$39,672,483","$86,137,409","$125,809,892"
8,2016,"$41,056,948","$84,055,363","$125,112,311"
7,2016,"$40,129,985","$81,478,447","$121,608,432"
6,2016,"$38,177,550","$67,881,863","$106,059,413"
5,2016,"$37,636,295","$63,831,071","$101,467,366"
4,2016,"$38,294,503","$63,841,328","$102,135,831"
3,2016,"$38,116,173","$65,121,388","$103,237,561"
2,2016,"$34,019,234","$57,045,314","$91,064,548"
1,2016,"$32,860,544","$55,896,018","$88,756,562"
12,2015,"$36,010,893","$56,077,002","$92,087,895"
11,2015,"$30,770,436","$49,453,755","$80,224,191"
10,2015,"$36,742,780","$54,467,764","$91,210,544"
9,2015,"$39,991,813","$53,639,366","$93,631,179"
8,2015,"$40,819,368","$57,679,482","$98,498,850"
7,2015,"$40,611,139","$55,315,111","$95,926,250"
6,2015,"$34,552,396","$46,460,218","$81,012,614"
5,2015,"$33,609,116","$44,590,853","$78,199,969"
4,2015,"$32,878,517","$43,832,944","$76,711,461"
3,2015,"$32,820,548","$42,952,626","$75,773,174"
2,2015,"$29,066,073","$35,843,189","$64,909,262"
1,2015,"$30,181,833","$37,224,033","$67,405,866"
12,2014,"$28,660,719","$34,579,445","$63,240,164"
11,2014,"$28,978,462","$29,470,126","$58,448,588"
10,2014,"$31,779,216","$31,185,985","$62,965,201"
9,2014,"$32,721,238","$30,345,357","$63,066,595"
8,2014,"$33,912,226","$33,520,608","$67,432,834"
7,2014,"$31,137,623","$29,866,792","$61,004,415"
6,2014,"$29,950,309","$23,978,082","$53,928,391"
5,2014,"$31,355,208","$21,375,001","$52,730,209"
4,2014,"$32,686,869","$20,765,986","$53,452,855"
3,2014,"$34,821,878","$19,881,631","$54,703,509"
2,2014,"$31,738,572","$14,248,473","$45,987,045"
1,2014,"$32,541,720","$14,022,213","$46,563,933"
Intentionally left blank,,,,
Source: Colorado Retail Sales Tax Return (DR 0100) and Retail Marijuana Sales Tax Return,,,,
¹ Total Medical Marijuana Sales summarizes all sales made at medical marijuana stores. It includes medical marijuana and accessories/other products that do not contain medical marijuana.,,,,
² Total Retail Marijuana Sales summarizes retail marijuana sales made at retail marijuana stores. It does not include accessories/other products that do not contain retail marijuana.,,,,
"Prepared by: Office of Research and Analysis, Taxation Division, Colorado Department of Revenue | dor_ora@state.co.us",,,,
Publish date: May 2025,,,,
End of worksheet,,,,
