License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Date Updated
402-00941,BK HOLDINGS LLC,The Herbal Center,Medical Marijuana Store,12005 East 37th Avenue,Denver,80239,2025-05-01
402-00060,BLAZIN OG LLC,None,Medical Marijuana Store,4995 North Lima Street,Denver,80239,2025-05-01
402-00125,BLUEGRASS WELLNESS INC,Briargate Wellness Center,Medical Marijuana Store,"890 Dublin Boulevard, Suite C",Colorado Springs,80918,2025-05-01
402-00216,BOBBY BROWN BEST BUDS LLC,Bobby Brown Best Buds,Medical Marijuana Store,506 South Nevada Avenue,Colorado Springs,80903,2025-05-01
402-00924,BOULDER SNAX INC,Snaxland,Medical Marijuana Store,"7464 Arapahoe Avenue, Unit A9",Boulder,80303,2025-05-01
402-00653,BROW 1 LLC,Xclusive Cannabis,Medical Marijuana Store,7200 East Smith Road,Denver,80207,2025-05-01
402-01339,BUENA SUERTE COMPANY LLC,BRMFLD CONFIDENTIAL,Medical Marijuana Store,"11640 Teller Street, Suite E",Broomfield,80020,2025-05-01
402-00294,BUILDING BETTER DAYS LLC,Reefer Madness,Medical Marijuana Store,1995 South Broadway,Denver,80210,2025-05-01
402-00409,BUILDING BETTER DAYS LLC,REEFER MADNESS,Medical Marijuana Store,"4401 East 46th Avenue, Unit B",Denver,80216,2025-05-01
402-01176,BUKU LOUD LLC,Buku Loud,Medical Marijuana Store,3079 South Academy Boulevard,Colorado Springs,80916,2025-05-01
402-00714,C4 CO LLC,SoHi CC,Medical Marijuana Store,1406 West 38th Avenue,Denver,80211,2025-05-01
402-00849,CANNA CLUB LLC,Best Buds,Medical Marijuana Store,4012 West 38th Avenue,Denver,80212,2025-05-01
402-00110,CANNABICARE INC,The Care,Medical Marijuana Store,1466 Woolsey Heights,Colorado Springs,80915,2025-05-01
402-00934,CANNABIS FOR HEALTH LLC,Pig 'N' Whistle,Medical Marijuana Store,4801 West Colfax Avenue,Denver,80204,2025-05-01
402-00864,CANNACURA LLC,Vital Cannabis,Medical Marijuana Store,1675 Jet Wing Drive,Colorado Springs,80916,2025-05-01
402-00949,CC TRINIDAD LLC,Trinidad Gardens,Medical Marijuana Store,422 North Commercial Street,Trinidad,81082,2025-05-01
402-01064,CG INDUSTRY LLC,Family Grown,Medical Marijuana Store,"4902 East Smith Road, Unit C",Denver,80216,2025-05-01
402-00146,CHOICE ORGANICS INC,Green Dragon,Medical Marijuana Store,"813 Smithfield Drive, Units A & B",Fort Collins,80524,2025-05-01
402-00097,COLORADO ALTERNATIVE HEALTH CARE LTD,Palisades Health Care Inc,Medical Marijuana Store,"125 Peach Avenue, Suite C",Palisade,81526,2025-05-01
402-00495,COLORADO CANNABIS COMPANY LLC,Pure Marijuana Dispensary,Medical Marijuana Store,4571 North Ivy Street,Denver,80216,2025-05-01
402-00736,COLORADO COMPASSIONATE CARE GIVERS INC,Rocky Mountain High,Medical Marijuana Store,"3431 South Federal Boulevard, Unit G",Englewood,80110,2025-05-01
402-00975,COLORADO DISTRIBUTING INC,The Dispo,Medical Marijuana Store,893 East Enterprise Drive,Pueblo West,81007,2025-05-01
402-00543,COLORADO SPRINGS INVESTMENTS LLC,The Dispensary,Medical Marijuana Store,"2205 Montebello Square Drive, Suite 101",Colorado Springs,80918,2025-05-01
402-00050,COMPASSIONATE CARE GIVERS INC,Rocky Mountain High,Medical Marijuana Store,1201 20th Street,Denver,80202,2025-05-01
402-00051,COMPASSIONATE CARE GIVERS INC,Rocky Mountain High,Medical Marijuana Store,"1538 Wazee Street, Suite 100",Denver,80202,2025-05-01
402-00049,COMPASSIONATE CARE GIVERS INC,Rocky Mountain High,Medical Marijuana Store,1233 West Alameda Avenue,Denver,80223,2025-05-01
402-00325,COMPASSIONATE PAIN MANAGEMENT LLC,Ajoya,Medical Marijuana Store,"1100 West Dillon Road, Unit D-3",Louisville,80027,2025-05-01
402-00957,CONCENTRATE LLC,WOLF PAC CANNABIS,MMC,74 North Federal Boulevard,Denver,80219,2025-05-01
402-00165,CONCENTRATE LLC,WOLFPAC CANNABIS,MMC,2420 South Colorado Boulevard,Denver,80222,2025-05-01
402-00166,CORRIDOR 70 LLC,Everbloom,Medical Marijuana Store,4095 North Jackson Street,Denver,80216,2025-05-01
402-00966,CORRIDOR 70 LLC,EverBloom,Medical Marijuana Store,"1150 Railroad Avenue, Units A and B",Rifle,81650,2025-05-01
402-00967,CORRIDOR 70 LLC,EverBloom,Medical Marijuana Store,10185 West 49th Avenue,Wheat Ridge,80033,2025-05-01
402-00326,CPM LAKEWOOD LLC,Ajoya Medical Cannabis,Medical Marijuana Store,10590 West Colfax Avenue,Lakewood,80215,2025-05-01
402-00573,D & D CONSULTING INC,Kaya Cannabis,Medical Marijuana Store,1075 South Fox Street,Denver,80223,2025-05-01
402-00323,D & D CONSULTING INC,Kaya Cannabis,Medical Marijuana Store,"12018 West Jewell Avenue, Unit B & C",Lakewood,80228,2025-05-01
402-00481,D AND C MEDICAL MARIJUANA LLC,Golden Leaf,Medical Marijuana Store,1755 Lincoln Avenue,Steamboat Springs,80487,2025-05-01
402-00444,DEAD FLOWERS MEDS LLC,None,Medical Marijuana Store,855 Highway 105,Palmer Lake,80133,2025-05-01
402-00857,DENCO LLC,None,Medical Marijuana Store,3480 Park Avenue West  Unit B,Denver,80216,2025-05-01
402-00870,DENCO LLC,None,Medical Marijuana Store,5155 East 46th Avenue,Denver,80216,2025-05-01
402-00938,DENCO LLC,None,Medical Marijuana Store,922 East Kimble Drive,Pueblo West,81007,2025-05-01
402-00738,DENVER COMPASSIONATE CAREGIVERS INC,Rocky Mountain High,Medical Marijuana Store,3360 South Wadsworth Boulevard ,Lakewood,80227,2025-05-01
402-00998,DENVER PATIENTS GROUP LLC,LivWell,Medical Marijuana Store,2863 Larimer Street,Denver,80205,2025-05-01
402-00498,DGS INC,The Kind Room,Medical Marijuana Store,1881 South Broadway ,Denver,80210,2025-05-01
402-00545,DKC LLC,Denver Kush Club,Medical Marijuana Store,2615 Welton Street,Denver,80205,2025-05-01
402-00699,DOPE APOTHEOSIS INC,Police and Thieves,Medical Marijuana Store,399 South Harrison Street,Denver,80209,2025-05-01
402-01723,DOUBLE BROW LLC,Star Buds,Medical Marijuana Store,560 North 7th Avenue,Brighton,80601,2025-05-01
402-01157,DOUBLE BROW LLC,Star Buds,Medical Marijuana Store,510 East Pikes Peak Avenue,Colorado Springs,80903,2025-05-01
402-00729,DOUBLE BROW LLC,Standing Akimbo,Medical Marijuana Store,3801 North Jason Street,Denver,80211,2025-05-01
402-00209,DOUBLE BROW LLC,Star Buds,Medical Marijuana Store,265 South Wadsworth Boulevard,Lakewood,80226,2025-05-01
402-00861,DP RETAIL 100 LLC,Green Dragon,Medical Marijuana Store,804 South College Avenue,Fort Collins,80524,2025-05-01
402-00486,DURANGO ORGANICS LLP,DO Cortez ,Medical Marijuana Store,1013 East Main Street,Cortez,81321,2025-05-01
402-00532,DURANGO ORGANICS LLP,None,Medical Marijuana Store,"72 Suttle Street, Unit F",Durango,81303,2025-05-01
402-00768,E2T2 LLC,Cookies Broadway,Medical Marijuana Store,2057 South Broadway,Denver,80210,2025-05-01
402-00993,EARTH SOLUTIONS INC,"Canna Cabinet, Inc",Medical Marijuana Store,"2630 West Pueblo Boulevard, Suite A",Pueblo,81004,2025-05-01
402-00971,EGOZI VENTURES LLC,None,Medical Marijuana Store,2160 South Lipan Street,Denver,80223,2025-05-01
402-01324,EXIT 243 LLC ,DISPENSARY EXIT 243,Medical Marijuana Store,2235 East Idaho Springs Road ,Idaho Springs,80452,2025-05-01
402-00696,EZ NATURAL ALTERNATIVES LLC,Cookies,Medical Marijuana Store,"3475 Pine Tree Square, Suite E",Colorado Springs,80909,2025-05-01
402-00556,FLOWER POWER BOTANICALS LLC,None,Medical Marijuana Store,1308 -1310 Duff Drive,Fort Collins,80524,2025-05-01
402-01016,FOUNTAIN ORGANICS LLC,Fountain Organics,Medical Marijuana Store,"5421 Rio Vista Drive, Suite 200",Colorado Springs,80917,2025-05-01
402-00806,FOX STREET WELLNESS LLC,Fox Cannabis,Medical Marijuana Store,4773 North Fox Street,Denver,80216,2025-05-01
402-00832,FRESH ORGANIC LLC,Fresh Cannabis,Medical Marijuana Store,"11450 Cherokee Street, Units A6 & A7",Northglenn,80234,2025-05-01
402-01706,FRYE STOP DISPENSARY LLC,Bud Barn Dispensary,Medical Marijuana Store,101 West Bridge Street Unit 1,Hotchkiss,81419,2025-05-01
402-00088,FUTUREVISION LTD,Medicine Man,Medical Marijuana Store,4750 North Nome Street,Denver,80239,2025-05-01
402-00766,GALACTIC MEDS LLC,Space Buds,Medical Marijuana Store,621 West Colorado Avenue,Colorado Springs,80905,2025-05-01
402-00655,GANJA GOURMET LLC,Ganja Gourmet,Medical Marijuana Store,1810 South Broadway,Denver,80210,2025-05-01
402-00848,GARCIA AND MAESTAS INC,LA CASA CANNABIS II,Medical Marijuana Store,5986 Produce Place,Alamosa,81101,2025-05-01
402-01071,GARDEN OF THE BUDZ LLC,None,Medical Marijuana Store,3178 West Colorado Avenue,Colorado Springs,80904,2025-05-01
402-00096,GAS AND GRASS LLC,Lemonade,Medical Marijuana Store,"4500 North Washington Street, Unit B",Denver,80216,2025-05-01
402-00773,GATSBY HOLDINGS LLC,Billo,Medical Marijuana Store,3150 Ingles Lane,Steamboat Springs,80487,2025-05-01
402-00140,GL INDUSTRIAL,Grow Life INC,Medical Marijuana Store,115 East Garden of the Gods Road,Colorado Springs,80907,2025-05-01
402-00376,GM BROADWAY LLC,MECCA,Medical Marijuana Store,330 North Federal Boulevard,Denver,80219,2025-05-01
402-00815,GM CO SPRINGS LLC,Golden Meds,Medical Marijuana Store,329 East Pikes Peak Avenue,Colorado Springs,80903,2025-05-01
402-01174,GM HOLDINGS LTD LLC,BLE ,Medical Marijuana Store,319 Bonfoy Avenue,Colorado Springs,80909,2025-05-01
402-00251,GOLDEN ALTERNATIVE MEDICINE LLC,Verts Neighborhood Dispensary,Medical Marijuana Store,511 Orchard Street 2nd Floor,Golden,80401,2025-05-01
402-01338,GRAND MESA GROUP INC,PUR CANNABLISS,MMC,130 North Grand Mesa Drive,Cedaredge,81413,2025-05-01
402-00800,GRANT PHARMS LLC,"Grant Pharms, MMC",Medical Marijuana Store,1591 East Cheyenne Mountain Boulevard,Colorado Springs,80906,2025-05-01
402-01153,GRANT PHARMS LLC,Grant Pharms MMC,Medical Marijuana Store,320 Prairie Road,Colorado Springs,80909,2025-05-01
402-00969,GRANT PHARMS LLC,Zaza's,Medical Marijuana Store,4344 Montebello Drive,Colorado Springs,80918,2025-05-01
402-00087,GREEN CROSS LLC,Green Cross of Cherry Creek,Medical Marijuana Store,"3400 South Oneida Way, Suite 101",Denver,80224,2025-05-01
402-01173,GREEN FARMS LLC,None,Medical Marijuana Store,3629 Galley Road,Colorado Springs,80909,2025-05-01
402-00854,GREEN FIELDS LLC,GreenFields,Medical Marijuana Store,1798 West Mississippi Avenue,Denver,80223,2025-05-01
402-01080,GREEN GARDENS LLC,Green Fields,Medical Marijuana Store,2038 South Navajo Street,Denver,80223,2025-05-01
402-00018,GREEN KIWI 1 LLC,LivWell,Medical Marijuana Store,3955 North Oneida Street,Denver,80207,2025-05-01
402-00874,GREEN LIFE SOLUTIONS LLC,Green Tree ,Medical Marijuana Store,10575 Melody Drive Suite 101,Northglenn,80234,2025-05-01
402-00490,GREEN MEADOWS DISPENSARY LLC,Green Meadows Dispensary LLC,Medical Marijuana Store,23360 South Highway 550,Montrose,81403,2025-05-01
402-01313,GREEN MEADOWS DISPENSARY LLC ,Green Meadows Dispensary LLC,Medical Marijuana Store,"25 Stafford Lane, Unit 3 ",Delta,81416,2025-05-01
402-00551,GREEN MEDICINE LLC,Green Medicine Wellness,Medical Marijuana Store,1030 Grand Avenue,Glenwood Springs,81601,2025-05-01
402-01031,GREEN PHARM II LLC,Green Pharm,Medical Marijuana Store,"4335 North Academy Boulevard, Suite 100",Colorado Springs,80918,2025-05-01
402-00690,GREEN SATIVA LLC,None,Medical Marijuana Store,2426 South Federal Boulevard,Denver,80219,2025-05-01
402-01122,GREEN SATIVA LLC,None,Medical Marijuana Store,"8411 Pecos Street, Unit G & H",Federal Heights,80260,2025-05-01
402-00859,GREEN TREE BERTHOUD LLC,Green Tree,Medical Marijuana Store,1090 North 2nd Street,Berthoud,80513,2025-05-01
402-01722,GREEN TREE BOULDER LLC,Green Tree Dispensary,Medical Marijuana Store,3141 Walnut Street,Boulder,80301,2025-05-01
402-00745,GREEN ZEBRA RETAIL LLC,Let's Blaze,Medical Marijuana Store,120 South Kalamath Street,Denver,80223,2025-05-01
402-01085,GT RETAIL LLC,TREES,Medical Marijuana Store,12626 North 107 Street,Longmont,80504,2025-05-01
402-00313,HEALING HOUSE LAKEWOOD LLC,Ascend Cannabis Co.,Medical Marijuana Store,10712 West Alameda Avenue,Lakewood,80226,2025-05-01
402-01162,HERBAL HEALING LLC,Herbal Healing,Medical Marijuana Store,"408 East Fillmore Street, Suite 110",Colorado Springs,80907,2025-05-01
402-00008,HERBAL OUTFITTERS LLC,The Green Joint,Medical Marijuana Store,"2102 Airport Road, Suite A",Rifle,81650,2025-05-01
402-00698,HERBAL WELLNESS LLC,herbal wellness llc,Medical Marijuana Store,"400 West South Boulder Road, Suite 2700",Lafayette,80026,2025-05-01
402-00041,HG LTD,Higher Grade,Medical Marijuana Store,3111 West 38th Avenue,Denver,80211,2025-05-01
402-01193,HG LTD,Higher Grade,Medical Marijuana Store,"3480 South Galena Street, Unit B-4",Denver,80231,2025-05-01
402-00443,HIGH COLLECTIVE LLC,C.R.E.A.M,Medical Marijuana Store,1000 West Fillmore Street Suite 105,Colorado Springs,80907,2025-05-01
402-00242,HIGH MOUNTAIN MEDZ LLC,Levity Wellness,Medical Marijuana Store,426 West Fillmore Street,Colorado Springs,80907,2025-05-01
402-01656,HIGH STAKES LEAFERY LLC,None,Medical Marijuana Store,324 Highway 67 #D,Cripple Creek,80813,2025-05-01
402-00539,HOLLISTER & BLACKSMITH INC,Feel State Dispensary ,Medical Marijuana Store,1004 South Tejon Street,Colorado Springs,80903,2025-05-01
402-00053,HOLLISTER & BLACKSMITH INC,Feel State Dispensary ,Medical Marijuana Store,5875 Lehman Drive Unit 100,Colorado Springs,80918,2025-05-01
402-00452,I & S LLC,SILVER STEM FINE CANNABIS,Medical Marijuana Store,1086 West Littleton Boulevard,Littleton,80120,2025-05-01
402-00933,IEROS LLC,Life Flower Dispensary,Medical Marijuana Store,3450 North Brighton Boulevard,Denver,80216,2025-05-01
402-00613,IEROS LLC,Life Flower Dispensary,Medical Marijuana Store,4966 Leetsdale Drive,Glendale,80246,2025-05-01
402-00893,J&R PARTNERS LLC, Native Roots Vail,Medical Marijuana Store,"41290 Highway 6, Unit B2",Avon,81620,2025-05-01
402-00374,JET BLACK ENTERPRISES LLC,Leiffa,Medical Marijuana Store,6900 West Colfax Avenue,Lakewood,80214,2025-05-01
402-00011,JGB VENTURES LLC,DANK,Medical Marijuana Store,"3835 North Elm Street, Unit C",Denver,80207,2025-05-01
402-00157,JMC ENTERPRISES INC,Fremont County Cannabis,Medical Marijuana Store,1505 Elm Avenue,Canon City,81212,2025-05-01
402-01075,JOINT SUCCESS LLC,Indico Med,Medical Marijuana Store,2222 West Colorado Avenue,Colorado Springs,80904,2025-05-01
402-00330,JOIS LLC,SILVER STEM FINE CANNABIS,Medical Marijuana Store,3702 West Quincy Avenue,Denver,80236,2025-05-01
402-00942,JVT ENTERPRISES INC,COLORADO CANNABIS CONNECTION,Medical Marijuana Store,"4550 South Kipling Street, Unit 4",Denver,80127,2025-05-01
402-01169,KANOPYA HOLDINGS LLC,Kanopya Springs,Medical Marijuana Store,2545 - 2547 Platte Place,Colorado Springs,80909,2025-05-01
402-00693,KARMACEUTICALS LLC,Karmaceuticals,Medical Marijuana Store,4 South Santa Fe Drive,Denver,80223,2025-05-01
402-00453,KAZIMER LLC,Rocky Mountain High,Medical Marijuana Store,6666 East 44th Avenue,Denver,80216,2025-05-01
402-00429,KGBI COLORADO LLC,SPARK Dispensary,Medical Marijuana Store,4799 North Colorado Boulevard,Denver,80216,2025-05-01
402-00841,KIND CARE OF COLORADO LLC,Kind Care of Colorado,Medical Marijuana Store,"6617 South College Avenue, Building A",Fort Collins,80525,2025-05-01
402-00925,KIND LOVE LLC,None,Medical Marijuana Store,4380 East Alameda Avenue,Glendale,80246,2025-05-01
402-00243,KIND LOVE MJH LLC,Kind Love Express,Medical Marijuana Store,3899 North Quentin Street,Denver,80239,2025-05-01
402-01187,LBW CONSULTING GROUP LLC,Seed & Smith,Medical Marijuana Store,5070 North Oakland Street,Denver,80239,2025-05-01
402-01077,LEVELS IV INC,"Levels IV, Inc.",Medical Marijuana Store,5201 West 48th Avenue,Denver,80212,2025-05-01
402-00555,LEVELS IV INC,"Levels IV, Inc.",Medical Marijuana Store,389 Wadsworth Boulevard,Lakewood,80226,2025-05-01
402-00898,LGK LLC,Strawberry Fields,Medical Marijuana Store,"3435 South Yosemite Street, Suite 200",Denver,80231,2025-05-01
402-00240,LIGHTSHADE LABS LLC,Lightshade ,Medical Marijuana Store,5885 East Evans Avenue,Denver,80222,2025-05-01
402-00405,LIGHTSHADE LABS LLC,Lightshade,Medical Marijuana Store,330 South Dayton Street,Denver,80247,2025-05-01
402-01255,LIGHTSHADE LABS LLC,Lightshade,Medical Marijuana Store,9364 Federal Boulevard ,Federal Heights,80260,2025-05-01
402-00903,LIVWELL I LLC,LivWell,Medical Marijuana Store,"2647 8th Avenue, Unit B",Garden City,80631,2025-05-01
402-00666,LIVWELL III LLC,Livwell,Medical Marijuana Store,1941 West Evans Avenue,Denver,80223,2025-05-01
402-00837,LIVWELL VII LLC,LivWell,Medical Marijuana Store,900 North College Avenue,Fort Collins,80524,2025-05-01
402-01000,LIVWELL X LLC,LivWell,Medical Marijuana Store,1015 North 2nd Street,Berthoud,80513,2025-05-01
402-00135,LIVWELL XVI LLC,LivWell,Medical Marijuana Store,4625 East Colfax Avenue,Denver,80220,2025-05-01
402-00940,LIVWELL XVI LLC,LivWell,Medical Marijuana Store,"3600 South Wadsworth Boulevard, Units C D & E,",Lakewood,80235,2025-05-01
402-00866,LONG GONE FARMS LLC,Steel City Meds Medical Dispensary,Medical Marijuana Store,"74 North McCulloch Boulevard, Suite 120",Pueblo West,81007,2025-05-01
402-01590,LPCD LLC,The Dab,Medical Marijuana Store,4490 West 121 Avenue Suite 8,Broomfield,80020,2025-05-01
402-00581,LVJS SERVICES LLC,Front Range Cannabis,Medical Marijuana Store,1330 West Garden of the Gods Road,Colorado Springs,80907,2025-05-01
402-01039,MAGIC CITY FARMS 2 LLC,Magic City Cannabis,Medical Marijuana Store,3819 North Quentin Street,Denver,80239,2025-05-01
402-00883,MAGNOLIA ROAD INC,Magnolia Road Cannabis Company,Medical Marijuana Store,"1750 30th Street, Unit 84B",Boulder,80301,2025-05-01
402-01168,MAGNOLIA ROAD INC,Magnolia Road Cannabis Company,Medical Marijuana Store,2489 South Academy Boulevard,Colorado Springs,80916,2025-05-01
402-00687,MAKENA UNLIMITED LLC,None,Medical Marijuana Store,2568 South Broadway,Denver,80210,2025-05-01
402-00069,MARI MEDS INC,MARI MEDS,Medical Marijuana Store,222 East Moreno Avenue,Colorado Springs,80903,2025-05-01
402-00351,MC STRATEGIC VENTURES LLC,Jade Kola,Medical Marijuana Store,3750 Astrozon Boulevard Suite140,Colorado Springs,80910,2025-05-01
402-00385,MEDICAL MJ SUPPLY LLC,Best Colorado Cannabis,Medical Marijuana Store,4800 Lamar Street,Wheat Ridge,80033,2025-05-01
402-00829,MEDICINAL WELLNESS CENTER LLC,Oasis Cannabis Superstore,Medical Marijuana Store,6359 East Evans Avenue,Denver,80222,2025-05-01
402-00304,MILE HIGH DISPENSARY LLC,Mile High Dispensary,Medical Marijuana Store,1350 South Sheridan Boulevard Unit 1 & 2,Denver,80232,2025-05-01
402-00501,MILE HIGH MEDICAL CANNABIS LLC,LIT,Medical Marijuana Store,1630 North Federal Boulevard,Denver,80204,2025-05-01
402-00645,MILE HIGH REMEDIES LLC,Doctors Orders,Medical Marijuana Store,2106 East Boulder Street,Colorado Springs,80909,2025-05-01
402-00825,MOCO VENTURES LLC,Horizon Cannabis,Medical Marijuana Store,6745 West Mississippi Avenue ,Lakewood,80226,2025-05-01
402-00935,MODERN MEDICINE LLC,Altitude Organic Medicine,Medical Marijuana Store,523 South Tejon Street,Colorado Springs,80903,2025-05-01
402-01072,MODERN MEDICINE LLC,Altitude Organic Medicine ,Medical Marijuana Store,2354 East Platte Avenue,Colorado Springs,80909,2025-05-01
402-01023,MODERN MEDICINE LLC,Altitude Organic Medicine ,Medical Marijuana Store,6755 North Academy Boulevard,Colorado Springs,80918,2025-05-01
402-01334,MODERN MEDICINE LLC,Altitude Organic Medicine,Medical Marijuana Store,817 Little Beaver Trail,Dillon,80435,2025-05-01
402-01552,MTB CO LLC,Lakeshore Cannabis,Medical Marijuana Store,2517 North Sheridan Boulevard,Edgewater,80214,2025-05-01
402-01300,N&G ENTERPRISES LLC,Cookies Commerce City,Medical Marijuana Store,5385 Quebec Street,Commerce City,80022,2025-05-01
402-00292,NATIONAL GREEN SOURCE LLC,The Green Source,Medical Marijuana Store,318 South 8th Street,Colorado Springs,80905,2025-05-01
402-00947,NATIONAL GREEN SOURCE LLC,The Green Source,Medical Marijuana Store,975 West Fillmore Street,Colorado Springs,80907,2025-05-01
402-00247,NATIONAL GREEN SOURCE LLC,The Green Source,Medical Marijuana Store,1216 North Academy Boulevard,Colorado Springs,80909,2025-05-01
402-00868,NATIONAL GREEN SOURCE LLC,The Green Source,Medical Marijuana Store,2103 East Platte Avenue,Colorado Springs,80909,2025-05-01
402-01243,NATIONAL GREEN SOURCE LLC,The Green Source,Medical Marijuana Store,286 South Purcell Boulevard,Pueblo West,81007,2025-05-01
402-00887,NATURAL ALTERNATIVES FOR HEALTH CORP,None,Medical Marijuana Store,6712 South College Avenue Unit 5,Fort Collins,80525,2025-05-01
402-00945,NATURE MED INC,KIND-MEDS,Medical Marijuana Store,260 North Santa Fe Drive,Denver,80223,2025-05-01
402-00062,NATURES HERBS & WELLNESS CENTER,Nature's Herbs & Wellness Center,Medical Marijuana Store,540 27th Street,Garden City,80631,2025-05-01
402-00424,NATURES KISS CANNABIS SERVICES HEALTH & WELLNESS LLC,Nature's Kiss,Medical Marijuana Store,4332 South Broadway,Englewood,80113,2025-05-01
402-00811,NS BRECK LIMITED,Northern Standard,Medical Marijuana Store,"1795 Airport Road, Unit A2,",Breckenridge,80424,2025-05-01
402-00891,NUTRITIONAL ELEMENTS LLC,The Health Center,Medical Marijuana Store,2777 South Colorado Boulevard,Denver,80222,2025-05-01
402-00389,NUVUE PHARMA LLC,None,Medical Marijuana Store,2304 East Platte Avenue,Colorado Springs,80909,2025-05-01
402-00399,NUVUE PHARMA LLC,None,Medical Marijuana Store,"1842 South Parker Road, Unit 18",Denver,80231,2025-05-01
402-01062,NUVUE PHARMA LLC,None,Medical Marijuana Store,4740 Dillon Drive,Pueblo,81008,2025-05-01
402-00844,ORGANIC ALTERNATIVES INC,Organic Alternatives,Medical Marijuana Store,346 East Mountain Avenue,Fort Collins,80524,2025-05-01
402-00579,P & C EXPRESS LLC,Rocky Mountain High,Medical Marijuana Store,305 Jody Court,Montrose,81401,2025-05-01
